  ID,Schenk_Jackson_2002,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
TC15b,YES,Xu 1990,"Rheinland-Pfalz, Germany",50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.13,0.55,0.13,0.65
TC15c,YES,Xu 1990,"Rheinland-Pfalz, Germany",50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.16,0.63,0.17,0.78
TC15d,YES,Xu 1990,"Rheinland-Pfalz, Germany",50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.13,0.56,0.14,0.67
TC15e,YES,Xu 1990,"Rheinland-Pfalz, Germany",50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.18,0.65,0.19,0.83
TC15f,YES,Xu 1990,"Rheinland-Pfalz, Germany",50,7.1,300-550,5,number,-999,1,yes,medium,0,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,737,850,"non-tropical,",0.15,0.62,0.15,0.79
TC16a,YES,Hendriks & Bianchi 1955,The Netherlands,52.25,5.68,-999,2,length,-999,0.94,no,coarse,4,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,584,760,"non-tropical,",0.1,0.58,0.11,0.81
TC16b,YES,Hendriks & Bianchi 1955,The Netherlands,52.25,5.68,-999,2,length,-999,0.92,no,coarse,2,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,584,760,"non-tropical,",0.17,0.79,0.26,1.51
TC17a,YES,Oolsthoorn 1991,The Netherlands,52.18,5.77,-999,2,mass,0.31,0.84,no,coarse,4,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,584,760,"non-tropical,",0.27,0.74,0.34,1.28
TC17b,YES,Oolsthoorn 1991,The Netherlands,52.25,5.68,-999,2,mass,0.21,0.84,no,coarse,4,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,584,760,"non-tropical,",0.27,0.74,0.34,1.3
TC18,YES,Nnyamah & Black 1977,"Vancouver Island, Canada",49.83,-125.28,150,2,mass,0.98,0.78,no,medium,-999,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,733,1100,winter maximum,0.27,0.71,0.4,1.35
TC20,YES,Roberts 1976,"East Anglia, England",52.42,0.73,-999,Total,length,-999,1.83,no,coarse,11,0,1,0,0,0,1,0,evergreen,Y,N,ENL plantation / tem,1,608,570,"non-tropical,",0.09,0.9,0.09,1.13
TC21,YES,Persson et al. 1995,SW Sweden,56.55,13.22,100,1,mass,0.28,1.07,no,coarse,6.5,0,1,0,0,0,0,0,evergreen,Y,N,ENL plantation / tem,1,630,720,summer maximum,0.06,0.57,0.06,0.81
TC22a,YES,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,1.1,no,coarse,3,0,1,0,1,0,0,0,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.2,0.89,0.24,1.54
TC22b,YES,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,1.1,no,coarse,2,1,1,0,1,0,0,0,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.21,0.84,0.23,1.32
TC22c,YES,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,0.65,no,coarse,3,1,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.18,0.52,0.19,0.79
TC22d,YES,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,0.6,no,coarse,3,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.12,0.45,0.13,0.67
TC24a,YES,Weaver 1977,"Montana, USA",45.73,-110.97,1650,5,mass,0.6,0.7,no,medium,-999,0,1,1,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,1096,550,summer maximum,0.16,0.61,0.25,1.18
TC24b,YES,Weaver 1977,"Montana, USA",45.92,-110.92,1810,5,mass,0.71,0.7,no,medium,-999,0,1,0,1,0,0,0,evergreen,N,N,ENL forest / tempera,1,1096,900,summer maximum,0.19,0.62,0.29,1.2
TC24c,YES,Weaver 1977,"Montana, USA",45.92,-110.92,1830,5,mass,1.84,0.7,no,medium,-999,0,1,0,0,1,0,0,evergreen,N,N,ENL forest / tempera,1,1096,900,summer maximum,0.15,0.61,0.24,1.18
TC24d,YES,Weaver 1977,"Montana, USA",45.87,-110.95,2360,5,mass,1.51,0.7,no,medium,-999,0,1,0,1,0,0,0,evergreen,N,N,ENL forest / tempera,1,1096,900,summer maximum,0.33,0.65,0.49,1.25
TC25,YES,Lutz et al. 1937,"New Hampshire, USA",42.93,-72.27,-999,Total,number,-999,1.71,no,medium,3.4,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,775,1016,"non-tropical,",0.19,0.89,0.19,1.03
TC26a,YES,Puhe et al. 1986,S Sweden,57.43,12.25,120-180,2,mass,0.49,0.34,no,-999,7,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,567,960,summer maximum,0.08,0.29,0.11,0.53
TC26b,YES,Puhe et al. 1986,S Sweden,56.63,13.05,70,2,mass,0.4,0.36,no,-999,6,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,589,1040,summer maximum,0.08,0.32,0.12,0.61
TC26c,YES,Puhe et al. 1986,S Sweden,56.2,15.38,60,2,mass,0.38,0.35,no,-999,6,0,1,0,0,0,0,0,evergreen,N,N,ENL forest / tempera,1,604,610,summer maximum,0.08,0.3,0.12,0.58
TD04a,YES,Kochenderfer 1973,"West Virginia, USA",39.12,-79.57,457-106,Total,number,-999,1.5,no,medium,0,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,909,1300,"non-tropical,",0.25,0.89,0.25,1.05
TD04b,YES,Kochenderfer 1973,"West Virginia, USA",39.12,-79.57,-999,Total,number,-999,1.8,no,medium,0,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,909,1300,"non-tropical,",0.28,1.27,0.3,1.72
TD04c,YES,Kochenderfer 1973,"West Virginia, USA",39.12,-79.57,-999,Total,number,-999,2.1,no,medium,0,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,909,1300,"non-tropical,",0.27,1.22,0.27,1.4
TD05,YES,McClaugherty et al. 1982,"Massachusetts, USA",42.5,-72.2,-999,3,mass,0.61,0.96,no,medium,6.3,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,779,1050,"non-tropical,",0.1,0.69,0.11,1.14
TD06a,YES,Schulze et al. 1996,"Patagonia, Argentina",-44.83,-71.72,1080,Total,mass,7.65,2.03,no,medium,15,1,0,1,0,0,1,0,winter-deciduous,N,N,DBL forest / tempera,4,904,770,winter maximum,0.28,1.02,0.28,1.1
TD06b,YES,Schulze et al. 1996,"Patagonia, Argentina",-44.85,-71.58,960,Total,mass,4.5,2.28,no,coarse,5,1,0,1,0,0,1,0,winter-deciduous,N,N,DBL forest / tempera,4,904,520,winter maximum,0.18,0.54,0.18,0.54
TD07,YES,Scully 1942,"Wisconsin, USA",42.57,-88.48,<1030,Total,number,-999,0.91,no,medium,-999,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,865,800,summer maximum,0.09,0.51,0.1,0.65
TD08,YES,Yin et al. 1989,"Wisconsin, USA",44.1,-91.2,-999,2,mass,0.64,0.6,yes,medium,-999,1,0,0,0,0,1,0,winter-deciduous,N,N,DBL forest / tempera,4,959,792,summer maximum,0.11,0.52,0.18,1
TD09,YES,Glatzel 1983,SE Austria,47.05,16.45,240,Total,mass,2.88,1.03,no,medium,2.5,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,763,750,summer maximum,0.2,0.74,0.22,1.03
TD10a,YES,Kalisz et al. 1987,"Kentucky, USA",37.45,-83.13,-999,Total,length,-999,0.92,no,medium,6,1,1,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,971,1170,"non-tropical,",0.14,0.68,0.16,1.07
TD10b,YES,Kalisz et al. 1987,"Kentucky, USA",37.45,-83.13,-999,Total,length,-999,1.06,no,medium,3,1,1,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,971,1170,"non-tropical,",0.16,0.87,0.22,1.59
TD10c,YES,Kalisz et al. 1987,"Kentucky, USA",37.45,-83.13,-999,Total,length,-999,1.12,no,medium,2.5,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,971,1170,"non-tropical,",0.19,0.88,0.23,1.48
TD11,YES,Lucot & Bruckert 1992,"Franche-Comté, France",47.13,6,355,Total,section,-999,4,no,fine,0,1,0,0,0,1,1,0,winter-deciduous,N,N,DBL forest / tempera,4,801,1100,"non-tropical,",0.34,0.86,0.34,0.86
TD12a,YES,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.91,no,medium,1,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.09,0.43,0.09,0.48
TD12b,YES,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.93,no,medium,3,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.14,0.59,0.14,0.77
TD12c,YES,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.94,no,medium,4,1,1,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.26,0.8,0.31,1.38
TD12d,YES,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.95,no,medium,5,1,1,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.29,0.69,0.29,0.81
TD13,YES,Ellenberg et al. 1986,"Lower Saxony, Germany",51.77,9.55,500,2,mass,0.09,0.95,no,medium,2.5,1,0,0,0,1,1,0,winter-deciduous,N,N,DBL forest / tempera,4,637,1060,"non-tropical,",0.08,0.71,0.11,1.27
TD14a,YES,Hertel 1999,"Göttinger Wald, Germany",51.52,10.05,420,2,mass,0.45,1,no,fine,0,1,0,0,0,1,1,0,winter-deciduous,N,N,DBL forest / tempera,4,637,712,"non-tropical,",0.17,0.77,0.2,1.26
TD14b,YES,Hertel 1999,"Allstedt, Germany",51.38,11.43,280,2,mass,0.27,2.03,no,coarse,2.5,1,0,1,0,1,1,0,winter-deciduous,N,N,DBL forest / tempera,4,643,500,summer maximum,0.36,1.32,0.37,1.54
TD14c,YES,Hertel 1999,"Solling, Germany",51.77,9.58,510,2,mass,0.34,1.26,yes,medium,5.7,1,0,0,0,1,1,0,winter-deciduous,N,N,DBL forest / tempera,4,637,1031,"non-tropical,",0.18,0.89,0.19,1.32
TD14d,YES,Hertel 1999,"Lüneburger Heide, Germany",52.83,10.28,115,2,mass,0.49,3.57,yes,coarse,6.5,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,744,801,"non-tropical,",0.12,1.3,0.12,1.3
TD15,YES,Safford 1974,"New Hampshire, USA",44.1,-71.15,300,3,mass,1.23,0.81,no,medium,5,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,702,1270,"non-tropical,",0.09,0.57,0.1,0.91
TD16a,YES,Garelkov 1973,Bulgaria,43.1,43.12,1400-16,Total,mass,3.02,1,no,-999,-999,1,0,0,0,1,1,0,winter-deciduous,N,N,DBL forest / tempera,4,699,1100,"non-tropical,",0.13,0.67,0.14,0.95
TD16b,YES,Garelkov 1973,Bulgaria,43.1,43.12,1400-16,Total,mass,4.05,1,no,-999,-999,1,0,0,0,0,1,0,winter-deciduous,N,N,DBL forest / tempera,4,699,1100,"non-tropical,",0.31,0.85,0.36,1.4
TD17,YES,Wright 1955,"Morayshire, Scotland",57.62,-3.73,<100,Total,mass,8.42,1.07,no,coarse,1,1,0,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,595,607,"non-tropical,",0.29,0.94,0.41,1.78
TD19a,YES,Weaver 1977,"Montana, USA",45.68,-111.03,1560,5,mass,0.6,0.7,no,medium,-999,1,0,1,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,1096,550,summer maximum,0.16,0.61,0.25,1.18
TD19b,YES,Weaver 1977,"Montana, USA",45.92,-110.92,1830,5,mass,0.56,0.7,no,medium,-999,1,0,0,0,1,0,0,winter-deciduous,N,N,DBL forest / tempera,4,1096,900,summer maximum,0.06,0.4,0.07,0.54
TD20,YES,Kreutzer 1968,S Germany,48.07,9.95,607,Total,mass,-999,0.9,no,medium,-999,1,1,0,0,0,0,0,winter-deciduous,N,N,DBL forest / tempera,4,704,830,summer maximum,0.34,0.82,0.49,1.55
TD21a,NO,Yeager 1935,"North Dakota, USA",46.9,-96.8,-999,Total,number,-999,3.05,no,coarse,-999,1,0,0,0,0,0,0,winter-deciduous,Y,N,Wooded grassland,7,1005,494,summer maximum,0.38,1.39,0.38,1.39
TD21b,NO,Yeager 1935,"North Dakota, USA",46.9,-96.8,-999,Total,number,-999,3.05,no,fine,-999,1,0,0,0,0,0,0,winter-deciduous,Y,N,Wooded grassland,7,1005,494,summer maximum,0.51,1.47,0.51,1.47
TD22,NO,Bard 1952,"New Jersey, USA",40.47,-74.55,-999,Total,number,-999,1.95,yes,medium,2,1,0,1,0,1,1,0,winter-deciduous,N,N,DBL forest / tempera,4,792,1194,"non-tropical,",0.28,1.37,0.3,1.79
TF01,NO,Farrish 1991,"Louisiana, USA",32.33,-92.57,-999,3,mass,0.92,1,no,medium,10,1,0,0,0,0,0,0,winter-deciduous,N,Y,DBL forest / tempera,4,1171,1300,"non-tropical,",0.1,0.81,0.16,1.55
TF02,NO,Symbula & Day 1988,"Virginia, USA",36.6,-76.53,-999,Total,mass,0.58,0.4,no,medium,-999,1,0,0,0,0,0,0,winter-deciduous,N,Y,DBL forest / tempera,4,1009,1290,"non-tropical,",0.13,0.36,0.22,0.71
TG01,YES,Wright 1955,"Morayshire, Scotland",57.62,-3.73,-999,Total,mass,2.06,0.76,no,coarse,0,0,0,0,1,1,0,0,-999,Y,N,Pasture,10,595,607,"non-tropical,",0.09,0.44,0.09,0.57
TG02,YES,Dahlman & Kucera 1965,"Missouri, USA",38.95,-91.93,<100,Total,mass,1.74,0.86,no,medium,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1043,1016,summer maximum,0.04,0.55,0.05,0.92
TG07,YES,McKell et al. 1962,"California, USA",38.97,-123.12,670,Total,mass,0.13,0.61,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1028,889,winter maximum,0.09,0.47,0.1,0.82
TG08,YES,Old 1969,"Illinois, USA",40.17,-88.17,-999,Total,mass,1.81,1,no,-999,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,991,910,summer maximum,0.09,0.8,0.14,1.53
TG10a,YES,Sims & Singh 1978,Bridger (Montana),45.95,-110.78,2340,Total,mass,1.88,0.5,no,medium,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1096,900,summer maximum,0.08,0.41,0.11,0.78
TG12a,YES,Weaver & Darland 1949,"Nebraska, USA",40.88,-96.7,-999,Total,mass,1.46,1.52,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1174,700,summer maximum,0.04,0.68,0.04,0.95
TG12b,YES,Weaver & Darland 1949,"Nebraska, USA",40.3,-96.67,-999,Total,mass,1.6,1.52,yes,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1099,680,summer maximum,0.07,0.89,0.08,1.36
TG12c,YES,Weaver & Darland 1949,"Kansas, USA",39.82,-97.55,-999,Total,mass,0.82,1.22,yes,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1125,1100,summer maximum,0.14,0.93,0.18,1.62
TG12d,YES,Weaver & Darland 1949,"Nebraska, USA",41.37,-99.58,-999,Total,mass,1.12,1.22,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1223,580,summer maximum,0.05,0.74,0.05,1.22
TG12e,YES,Weaver & Darland 1949,"Nebraska, USA",40.7,-99.1,-999,Total,mass,0.91,1.22,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1208,580,summer maximum,0.02,0.56,0.02,0.87
TG13,YES,Greenwood & Hutchinson 1998,"New South Wales, Australia",-30.63,151.57,1065,Total,length,-999,0.75,no,-999,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1571,793,"non-tropical,",0.21,0.67,0.33,1.28
TG14,YES,Barker et al. 1988,"North Island, New Zealand",-40.33,175.87,-999,Total,mass,1.92,0.8,no,-999,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1124,1246,"non-tropical,",0.07,0.59,0.09,1.03
TG15a,YES,Linkola & Tiirikka 1936,"Karelia, Russia",61.6,30.68,-999,Total,mass,1.01,1.2,no,coarse,1,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,530,570,summer maximum,0.04,0.64,0.04,0.99
TG15b,YES,Linkola & Tiirikka 1936,"Karelia, Russia",61.6,30.68,-999,Total,mass,0.45,1.2,yes,coarse,2.5,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,530,570,summer maximum,0.04,0.2,0.04,0.2
TG15c,YES,Linkola & Tiirikka 1936,"Karelia, Russia",61.6,30.68,-999,Total,mass,1.33,1.2,yes,medium,2.5,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,530,570,summer maximum,0.03,0.17,0.03,0.17
TG16e,YES,Fiala 1990,Czech Republic,49.67,16,~650,Total,mass,1.49,0.3,no,-999,0,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,724,775,summer maximum,0.04,0.19,0.04,0.25
TG16f,YES,Fiala 1990,Czech Republic,49.67,16,-999,Total,mass,0.98,0.3,no,-999,0,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,724,775,summer maximum,0.03,0.23,0.04,0.42
TG16g,YES,Fiala 1990,Czech Republic,49.67,16,-999,Total,mass,0.87,0.3,yes,-999,0,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,724,775,summer maximum,0.03,0.16,0.03,0.21
TG17,YES,Fiala & Studeny 1988,Czech Republic,49.72,15.97,625,Total,mass,2.76,0.3,no,-999,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,725,775,summer maximum,0.04,0.17,0.04,0.21
TG18,YES,Ellenberg et al. 1986,"Lower Saxony, Germany",51.77,9.53,500,Total,mass,1.11,0.6,no,medium,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,637,1060,"non-tropical,",0.02,0.36,0.03,0.57
TG19a,YES,Yano & Kayama 1975,"N Honshu, Japan",38.73,140.25,500,Total,mass,1.29,1.1,no,fine,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,842,1600,summer maximum,0.07,0.52,0.07,0.66
TG19b,YES,Yano & Kayama 1975,"central Honshu, Japan",35.17,135.58,810,Total,mass,1,0.6,no,fine,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,938,2313,summer maximum,0.1,0.41,0.11,0.56
TG22,YES,Gisi  & Oertli 1981,Switzerland,47.42,7.48,785,Total,mass,1.44,0.25,no,fine,0,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,795,800,"non-tropical,",0.06,0.22,0.09,0.42
TG23a,YES,Shalyt 1950,"Dubrovka, Ukraine",50.33,27.4,-999,Total,mass,2.78,1,no,coarse,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,699,590,summer maximum,0.05,0.46,0.05,0.59
TG23b,YES,Shalyt 1950,"Dubrovka, Ukraine",50.33,27.4,-999,Total,mass,3.54,1,no,coarse,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,699,590,summer maximum,0.02,0.5,0.02,0.8
TG23c,YES,Shalyt 1950,"Dubrovka, Ukraine",50.33,27.4,-999,Total,mass,1.46,1,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,699,590,summer maximum,0.07,0.29,0.07,0.3
TG23d,YES,Shalyt 1950,"Dubrovka, Ukraine",50.33,27.4,-999,Total,mass,1.54,1,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,699,590,summer maximum,0.03,0.36,0.03,0.44
TG23e,YES,Shalyt 1950,"Streletskaya steppe, Russia",51.72,36.22,230,Total,mass,2.01,2,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,692,590,summer maximum,0.03,0.87,0.04,1.09
TG26b,YES,Weaver 1977,"Montana, USA",45.87,-110.95,2330,5,mass,1.58,0.5,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1096,960,winter maximum,0.08,0.35,0.09,0.5
TG27a,YES,Shackleton et al. 1988,South Africa,-31.28,30,80,Total,mass,4.2,1,no,coarse,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1230,1200,summer maximum,0.15,0.76,0.18,1.26
TG27b,YES,Shackleton et al. 1988,South Africa,-31.28,30,300,Total,mass,3.46,0.75,no,fine,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1230,1200,summer maximum,0.08,0.44,0.08,0.6
TG28a,YES,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,0.68,0.8,no,-999,0,0,0,0,0,1,0,0,-999,N,N,Pasture,10,632,591,summer maximum,0.06,0.43,0.06,0.58
TG28b,YES,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,0.69,0.8,no,-999,0,0,0,0,0,1,0,0,-999,N,N,Pasture,10,632,591,summer maximum,0.06,0.25,0.06,0.26
TG28c,YES,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,0.96,0.8,no,-999,0,0,0,0,0,1,0,0,-999,N,N,Pasture,10,632,591,summer maximum,0.01,0.14,0.01,0.16
TG28d,YES,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,1.52,0.8,no,-999,0,0,0,0,0,1,0,0,-999,N,N,Pasture,10,632,591,summer maximum,0.08,0.22,0.08,0.22
TG29,YES,Shalyt & Zhivotenko 1968,"Crimean Peninsula, Ukraine",44.53,34.2,1300,Total,mass,2.42,0.3,no,-999,3.5,0,0,0,1,1,1,0,-999,N,N,Grassland,10,939,1000,"non-tropical,",0.05,0.26,0.09,0.5
TG32,YES,Plewczynska-Kuras 1976,Poland,52.28,21.05,-999,Total,mass,0.81,0.35,no,coarse,0,0,0,0,0,1,1,0,-999,Y,N,Pasture,10,618,548,summer maximum,0.02,0.21,0.02,0.32
TG35a,YES,Weaver et al. 1935,"E Nebraska, USA",40.88,-96.7,-999,Total,mass,1.23,1.22,no,medium,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1205,710,summer maximum,0.11,0.82,0.12,1.29
TG35b,YES,Weaver et al. 1935,"E Nebraska, USA",40.73,-95.9,-999,Total,mass,1.7,2.13,no,medium,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1189,865,summer maximum,0.09,1.38,0.1,1.81
TG36,NO,Joffre et al. 1987,"Andalucía, S Spain",37.68,-5.92,-999,Total,mass,0.72,0.6,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1454,720,winter maximum,0.07,0.42,0.08,0.65
TG37,NO,Coetzee et al. 1946,South Africa,-26.68,28.1,-999,Total,mass,-999,0.61,no,medium,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1240,760,summer maximum,0.06,0.38,0.06,0.56
TG38,NO,Bowns & Box 1964,"Sinton, Texas, USA",28.08,-97.26,-999,Total,mass,0.16,0.81,no,coarse,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1254,880,summer maximum,0.13,0.69,0.2,1.32
TG39,NO,Kandeler et al. 1994,Austria,47.5,14.1,-999,Total,mass,0.31,1,no,medium,0,0,0,0,0,1,0,0,-999,Y,N,Pasture,10,744,1013,summer maximum,0.07,0.47,0.07,0.58
TS01a,YES,Heitschmidt et al. 1988,"Texas, USA",34.15,-99.28,-999,Total,number,-999,2,no,fine,0,1,0,0,0,1,0,0,winter-deciduous,N,N,Wooded grassland,7,1450,650,summer maximum,0.48,1.65,0.53,2.25
TS01b,YES,Heitschmidt et al. 1988,"Texas, USA",34.15,-99.28,-999,Total,number,-999,2,no,fine,0,1,0,0,0,1,0,0,winter-deciduous,N,N,Wooded grassland,7,1450,650,summer maximum,0.38,1.62,0.43,2.25
TS02a,YES,Lavrinenko 1972,"Dymer, Ukraine",50.73,30.32,-999,2,mass,-999,1.5,no,coarse,0,0,1,0,0,0,0,0,evergreen,N,N,Woodland,6,685,590,summer maximum,0.03,1.04,0.05,1.99
TS02b,YES,Lavrinenko 1972,"Trostyanets, Ukraine",50.47,35.8,-999,2,volume,-999,1.1,no,medium,0,1,0,0,0,0,0,0,winter-deciduous,N,N,Woodland,6,684,552,summer maximum,0,0.65,0.01,1.24
TS02c,YES,Lavrinenko 1972,"Bila Tserkva, Ukraine",49.8,30.12,-999,2,mass,-999,1.1,no,medium,0,1,0,0,0,0,0,0,winter-deciduous,N,N,Woodland,6,769,627,summer maximum,0.09,0.7,0.09,1.06
TS02d,YES,Lavrinenko 1972,"Boguslav, Ukraine",49.53,30.87,-999,2,volume,-999,2,no,-999,0,1,1,0,0,0,0,0,winter-deciduous,N,N,Woodland,6,776,615,summer maximum,0.21,1.59,0.26,2.3
TS02e,YES,Lavrinenko 1972,"Kirovohrad, Ukraine",48.5,32.27,-999,2,mass,-999,1.1,no,medium,0,1,0,0,0,0,0,0,winter-deciduous,N,N,Woodland,6,759,520,summer maximum,0.1,0.88,0.16,1.68
TS03a,YES,Samoilova 1968,"Voronezh, Ukraine",51.72,39.25,-999,Total,mass,0.76,2,no,coarse,0,1,0,0,0,0,0,0,winter-deciduous,N,N,Woodland,6,662,480,summer maximum,0.17,0.52,0.17,0.53
TS03b,YES,Samoilova 1968,"Voronezh, Ukraine",51.72,39.25,-999,Total,mass,1.79,1.97,no,coarse,0,1,0,0,0,0,0,0,winter-deciduous,N,N,Woodland,6,662,480,summer maximum,0.18,0.84,0.18,0.91
TS08a,YES,Watts 1993,"Texas, USA",27.65,-98.22,75-90,Total,mass,2.75,2,no,medium,0,1,0,1,0,0,0,0,winter-deciduous,N,N,Wooded grassland,7,1123,716,summer maximum,0.27,1.02,0.27,1.11
TS08b,YES,Watts 1993,"Texas, USA",27.65,-98.22,75-90,Total,mass,1.74,2,no,medium,0,1,0,1,0,0,0,0,winter-deciduous,N,N,Wooded grassland,7,1123,716,summer maximum,0.5,1.49,0.52,1.81
TS14,YES,Usol'tsev & Krepkii,"Amanqaraghay, Kazakhstan",52.42,64.05,-999,Total,mass,-999,2.6,no,coarse,0,0,1,0,0,0,0,0,evergreen,N,N,Woodland,6,821,255,summer maximum,0.09,1.86,0.1,2.12
TS17a,YES,Christie 1978,"SW Queensland, Australia",-26.4,146.27,306,Total,mass,0.58,0.8,no,coarse,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1639,483,summer maximum,0.2,0.69,0.26,1.24
